function	description	HC-DS	HC-HD	HC-HX	HC-XY
K00411	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]	23.2	476.0	147.0	287.47
K00412	CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit	23.2	467.0	147.0	287.47
K00413	CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit	23.2	467.0	147.0	287.47
K00425	cydA; cytochrome bd ubiquinol oxidase subunit I [EC:1.10.3.14]	44149.45	46289.53999999999	51240.75	47416.65
K00426	cydB; cytochrome bd ubiquinol oxidase subunit II [EC:1.10.3.14]	44149.45	46289.53999999999	51240.75	47393.98
K00427	lldP, lctP; L-lactate permease	13091.0	13908.0	15849.0	15154.5
K00428	E1.11.1.5; cytochrome c peroxidase [EC:1.11.1.5]	23.2	493.0	147.0	287.47
K00432	gpx; glutathione peroxidase [EC:1.11.1.9]	29577.6	35679.54	34081.5	33225.240000000005
K00433	cpo; non-heme chloroperoxidase [EC:1.11.1.10]	11564.0	13541.0	13183.0	13243.0
K00446	dmpB, xylE; catechol 2,3-dioxygenase [EC:1.13.11.2]	0.0	0.0	0.0	22.67
K00448	pcaG; protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]	13114.2	14377.17	15770.0	15242.97
K00449	pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]	13114.2	14377.17	15770.0	15242.97
K00450	E1.13.11.4; gentisate 1,2-dioxygenase [EC:1.13.11.4]	0.0	0.0	0.0	22.67
K00451	HGD, hmgA; homogentisate 1,2-dioxygenase [EC:1.13.11.5]	23.2	467.0	79.0	264.8
K00452	HAAO; 3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]	0.0	0.0	79.0	87.0
K00453	TDO2, kynA; tryptophan 2,3-dioxygenase [EC:1.13.11.11]	23.2	495.17	147.0	309.14000000000004
K00455	hpaD, hpcB; 3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]	13114.2	14392.0	15234.0	13278.3
K00457	HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]	13137.4	14844.17	15917.0	15530.44
K00459	ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]	13137.4	14879.17	16589.0	17588.120000000003
K00466	iaaM; tryptophan 2-monooxygenase [EC:1.13.12.3]	23.2	458.0	0.0	177.8
K00471	E1.14.11.1; gamma-butyrobetaine dioxygenase [EC:1.14.11.1]	23.2	458.0	0.0	177.8
K00472	P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]	0.0	0.0	68.0	0.0
K00477	PHYH; phytanoyl-CoA hydroxylase [EC:1.14.11.18]	0.0	0.0	0.0	22.67
K00479	gbcA; glycine betaine catabolism A	23.2	458.0	0.0	177.8
K00480	E1.14.13.1; salicylate hydroxylase [EC:1.14.13.1]	0.0	18.0	68.0	22.67
K00481	pobA; p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2]	13114.2	14377.17	15838.0	15242.97
K00483	hpaB; 4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]	13091.0	13954.17	15234.0	13122.17
K00484	hpaC; flavin reductase (NADH) [EC:1.5.1.36]	13114.2	14403.17	15234.0	13299.97
K00486	KMO; kynurenine 3-monooxygenase [EC:1.14.13.9]	0.0	0.0	79.0	87.0
K00496	alkB1_2, alkM; alkane 1-monooxygenase [EC:1.14.15.3]	23.2	458.0	536.0	2144.8
K00499	CMO; choline monooxygenase [EC:1.14.15.7]	0.0	0.0	536.0	3934.0
K00500	phhA, PAH; phenylalanine-4-hydroxylase [EC:1.14.16.1]	23.2	458.0	147.0	264.8
K00505	TYR; tyrosinase [EC:1.14.18.1]	23.2	458.0	0.0	177.8
K00507	SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]	0.0	0.0	1230.0	4130.67
K00508	E1.14.19.3; linoleoyl-CoA desaturase [EC:1.14.19.3]	0.0	11.17	615.0	2075.67
K00517	CYP81F; indol-3-yl-methylglucosinolate hydroxylase [EC:1.14.-.-]	0.0	9.0	0.0	0.0
K00520	merA; mercuric reductase [EC:1.16.1.1]	821.0	871.0	1011.5	822.5
K00523	ascD, ddhD, rfbI; CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]	23.2	467.0	68.0	245.81
K00525	E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	31490.78	36783.54	35641.75	32918.48
K00526	E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]	30774.73	35020.34	35473.0	32677.28
K00527	rtpR; ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2]	18032.99	20364.77	17439.75	16188.35
K00528	fpr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]	18326.98	21274.17	18600.25	20094.28
K00529	hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]	2480.0	2614.17	3400.0	4430.17
K00532	E1.12.7.2; ferredoxin hydrogenase [EC:1.12.7.2]	94.33	0.0	0.0	246.67
K00533	E1.12.7.2L; ferredoxin hydrogenase large subunit [EC:1.12.7.2]	612.0	2201.0	0.0	0.0
K00537	ARSC1, arsC; arsenate reductase [EC:1.20.4.1]	43432.28	46497.53999999999	49143.0	44125.48
K00547	mmuM, BHMT2; homocysteine S-methyltransferase [EC:2.1.1.10]	13703.0	16146.17	15243.0	13122.17
K00548	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	17295.78	18626.37	18313.25	18013.809999999998
K00549	metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	41057.2	44267.34	48487.0	43455.48
K00554	trmD; tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	17255.53	18626.37	18122.75	17904.14
K00556	trmH; tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]	14852.0	15947.17	17327.0	14955.67
K00557	trmA; tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]	14875.2	16405.17	17863.0	17100.47
K00558	DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	27185.99	31454.94	30052.5	28152.85
K00560	thyA, TYMS; thymidylate synthase [EC:2.1.1.45]	15899.53	18628.57	18065.0	17875.809999999998
K00561	ermC, ermA; 23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]	94.33	0.0	0.0	246.67
K00563	rlmA1; 23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]	14875.2	16405.17	17871.5	17100.47
K00564	rsmC; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]	16661.15	18911.34	20043.5	19220.44
K00566	mnmA, trmU; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]	17255.53	18648.77	18120.75	17904.14
K00567	ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]	17260.78	18626.37	18081.5	17926.809999999998
K00568	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]	14898.4	16872.17	18157.0	17452.27
K00569	TPMT, tpmT; thiopurine S-methyltransferase [EC:2.1.1.67]	23.2	458.0	0.0	200.47000000000003
K00570	pmtA; phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]	0.0	9.0	0.0	0.0
K00571	E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	2764.74	2630.8	2874.0	3157.51
K00573	E2.1.1.77, pcm; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]	14880.45	16432.17	17627.75	15352.81
K00574	cfa; cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]	28332.93	31284.34	34025.25	35065.25
K00575	cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	4191.23	5156.17	2444.5	3148.11
K00590	E2.1.1.113; site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]	94.33	0.0	0.0	246.67
K00595	cobL; precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]	829.11	2659.0	10.75	671.14
K00596	E4.1.1.64; 2,2-dialkylglycine decarboxylase (pyruvate) [EC:4.1.1.64]	0.0	0.0	0.0	22.67
K00598	tam; trans-aconitate 2-methyltransferase [EC:2.1.1.144]	14875.2	16368.0	17395.0	15134.47
K00600	glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]	18791.64	19093.37	18117.25	18626.28
K00602	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	17253.78	18637.57	18171.25	17926.809999999998
K00603	fctD; glutamate formiminotransferase [EC:2.1.2.5]	5.25	11.2	50.75	419.0
K00604	MTFMT, fmt; methionyl-tRNA formyltransferase [EC:2.1.2.9]	17255.53	18626.37	18122.75	17926.809999999998
K00605	gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]	15115.31	16883.37	17480.75	15914.28
K00606	panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]	17042.7	18626.37	18075.0	17261.14
K00609	pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	17255.53	18626.37	18122.75	17926.809999999998
K00610	pyrI; aspartate carbamoyltransferase regulatory subunit	15876.33	18159.37	17421.0	15621.34
K00611	OTC, argF, argI; ornithine carbamoyltransferase [EC:2.1.3.3]	17276.98	19082.17	17391.75	16051.94
K00612	E2.1.3.-; carbamoyltransferase [EC:2.1.3.-]	23.2	458.0	0.0	200.47000000000003
K00615	E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]	106819.2	114416.05	117622.5	110194.49
K00616	E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]	41051.86	43911.53999999999	45669.75	41954.65
K00619	argA; amino-acid N-acetyltransferase [EC:2.3.1.1]	1331.25	0.0	6.75	51.0
K00620	argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	2401.78	2668.0	623.25	2465.1400000000003
K00625	E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8]	2446.41	2239.2	174.0	1008.68
K00626	E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	41994.94	46755.17	49053.0	51766.34
K00627	DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]	28601.4	33052.17	33866.0	32541.11
K00631	plsB; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]	14875.2	16405.17	17942.0	17187.47
K00632	fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]	42851.9	46736.34	50584.5	45420.11
K00633	lacA; galactoside O-acetyltransferase [EC:2.3.1.18]	0.0	0.0	48.0	0.0
K00634	ptb; phosphate butyryltransferase [EC:2.3.1.19]	323.25	11.2	50.75	419.0
K00635	E2.3.1.20; diacylglycerol O-acyltransferase [EC:2.3.1.20]	0.0	0.0	536.0	1967.0
K00638	catB; chloramphenicol O-acetyltransferase type B [EC:2.3.1.28]	94.33	37.17	536.0	2258.01
K00639	kbl, GCAT; glycine C-acetyltransferase [EC:2.3.1.29]	14857.25	15967.37	17456.75	15461.67
K00640	cysE; serine O-acetyltransferase [EC:2.3.1.30]	17300.18	19546.77	18699.25	20185.08
K00641	metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]	23.2	467.0	762.0	2318.8
K00643	E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]	0.0	9.0	0.0	0.0
K00645	fabD; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	17255.53	18626.37	18199.75	18013.809999999998
K00647	fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]	14898.4	16913.74	18721.0	17496.61
K00648	fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	19969.73	23318.74	19848.75	18498.78
K00651	metA; homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]	17230.58	18168.37	17438.25	15672.34
K00652	bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47]	14875.2	16427.57	18010.0	17187.47
K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	18331.51	21752.37	18285.5	19367.08
K00656	E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]	46296.82	49661.53999999999	49479.5	44470.02
K00657	speG, SAT; diamine N-acetyltransferase [EC:2.3.1.57]	15563.0	18159.37	17419.0	17364.34
K00658	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]	14875.2	16425.37	18010.0	17187.47
K00661	maa; maltose O-acetyltransferase [EC:2.3.1.79]	14408.2	16635.57	15328.0	13718.97
K00662	aacC; aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]	612.0	2201.0	0.0	22.67
K00663	aacA; aminoglycoside 6'-N-acetyltransferase [EC:2.3.1.82]	0.0	18.0	0.0	0.0
K00666	K00666; fatty-acyl-CoA synthase [EC:6.2.1.-]	13961.06	17054.2	17193.0	18014.45
K00673	astA; arginine N-succinyltransferase [EC:2.3.1.109]	27989.4	30771.17	33633.0	32321.77
K00674	dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]	15193.2	16414.17	18063.0	17651.809999999998
K00675	nhoA; N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118]	13114.2	14403.17	15313.0	13410.97
K00677	lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	16201.2	16436.57	18108.0	17261.14
K00680	ytmI; uncharacterized N-acetyltransferase [EC:2.3.1.-]	15571.0	16494.0	19751.5	31649.0
K00681	ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]	29778.85	33295.34	35492.75	32677.75
K00684	aat; leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]	14875.2	16414.17	18010.0	17210.14
K00685	ATE1; arginyl-tRNA---protein transferase [EC:2.3.2.8]	23.2	467.0	683.0	2254.4700000000003
K00687	pbp2B, penA; penicillin-binding protein 2B	0.0	0.0	7.0	0.0
K00688	PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]	33031.11	36774.54	34812.75	31471.48
K00690	E2.4.1.7; sucrose phosphorylase [EC:2.4.1.7]	0.0	9.0	2.0	24.0
K00691	mapA; maltose phosphorylase [EC:2.4.1.8]	612.0	2201.0	0.0	0.0
K00694	bcsA; cellulose synthase (UDP-forming) [EC:2.4.1.12]	26182.0	27853.17	30468.0	26198.67
K00697	otsA; trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]	13091.0	13945.17	15849.0	15176.17
K00700	GBE1, glgB; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	17348.11	18617.37	17432.75	16096.81
K00702	E2.4.1.20; cellobiose phosphorylase [EC:2.4.1.20]	612.0	2201.0	1.5	0.0
K00703	glgA; starch synthase [EC:2.4.1.21]	17253.78	18617.37	17429.25	15850.14
K00705	malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]	17442.44	18617.37	17396.25	15924.48
K00712	tagE; poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]	1.75	0.0	1.5	0.0
K00721	DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83]	1477.03	469.2	186.5	981.47
K00748	lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]	16201.2	16425.37	18060.0	17261.14
K00754	bshA; L-malate glycosyltransferase [EC:2.4.1.-]	711.0	2201.0	580.0	419.0
K00756	pdp; pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]	2378.58	2201.0	68.25	716.67
K00757	udp, UPP; uridine phosphorylase [EC:2.4.2.3]	15259.66	15993.37	17375.0	15449.01
K00758	deoA, TYMP; thymidine phosphorylase [EC:2.4.2.4]	14875.2	16414.17	17329.0	15133.47
K00759	APRT, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]	17255.53	18626.37	17584.75	15959.81
K00760	hprT, hpt, HPRT1; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]	17573.53	18626.37	18098.75	18323.14
K00761	upp, UPRT; uracil phosphoribosyltransferase [EC:2.4.2.9]	17255.53	18626.37	18122.75	17926.809999999998
K00762	pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]	17349.86	18626.37	18190.75	18150.81
K00763	pncB, NAPRT1; nicotinate phosphoribosyltransferase [EC:6.3.4.21]	17278.73	19084.37	18190.75	18104.61
K00764	purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]	17353.36	18637.57	18128.0	18173.480000000003
K00765	hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]	17253.78	18626.37	18029.25	17507.809999999998
K00766	trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]	4162.78	4718.37	2841.25	4803.64
K00767	nadC, QPRT; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]	17253.78	18626.37	17954.25	17507.809999999998
K00768	E2.4.2.21, cobU, cobT; nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]	29886.78	30486.2	31176.25	29065.47
K00769	gpt; xanthine phosphoribosyltransferase [EC:2.4.2.22]	14852.0	15956.17	17327.0	14955.67
K00772	mtaP, MTAP; 5'-methylthioadenosine phosphorylase [EC:2.4.2.28]	1331.25	0.0	8.75	51.0
K00773	tgt, QTRT1; queuine tRNA-ribosyltransferase [EC:2.4.2.29]	17253.78	18626.37	18121.25	17904.14
K00782	lldG; L-lactate dehydrogenase complex protein LldG	1341.75	20.2	70.25	51.0
K00783	rlmH; 23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]	17250.28	18626.37	18116.0	17926.809999999998
K00784	rnz; ribonuclease Z [EC:3.1.26.11]	14440.91	16120.2	15887.5	15979.84
K00786	E2.4.-.-; glycosyltransferase [EC:2.4.-.-]	640.45	2659.0	57.75	596.8
K00788	thiE; thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]	17354.53	18646.57	18069.25	17904.14
K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	18056.19	20827.37	18122.75	18420.15
K00790	murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	18920.11	23046.37	18182.0	18592.480000000003
K00791	miaA, TRIT1; tRNA dimethylallyltransferase [EC:2.5.1.75]	17255.53	18637.57	18170.75	17904.14
K00793	ribE, RIB5; riboflavin synthase [EC:2.5.1.9]	17255.53	18626.37	18113.75	17926.809999999998
K00794	ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]	17278.73	19093.37	18181.75	18104.61
K00795	ispA; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]	14852.0	15956.17	18010.0	17032.34
K00796	folP; dihydropteroate synthase [EC:2.5.1.15]	16524.45	16425.37	18121.25	17680.14
K00797	speE, SRM; spermidine synthase [EC:2.5.1.16]	17136.25	18157.17	17528.25	15558.01
K00798	MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17]	1349.2	478.2	731.0	2305.4700000000003
K00799	GST, gst; glutathione S-transferase [EC:2.5.1.18]	84037.8	93853.02	103626.0	104498.42
K00800	aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]	17276.98	19084.37	18121.25	18127.28
K00805	hepST; heptaprenyl diphosphate synthase [EC:2.5.1.30]	4030.33	4402.0	66.0	767.67
K00806	uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]	17667.86	18626.37	18166.75	18592.480000000003
K00808	hss; homospermidine synthase [EC:2.5.1.44]	0.0	9.0	0.0	0.0
K00812	aspB; aspartate aminotransferase [EC:2.6.1.1]	486.6	1450.4	720.0	3361.07
K00813	aspC; aspartate aminotransferase [EC:2.6.1.1]	14852.0	15947.17	17327.0	14955.67
K00817	hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]	17888.98	21351.74	18220.25	18258.620000000003
K00818	E2.6.1.11, argD; acetylornithine aminotransferase [EC:2.6.1.11]	23.2	469.2	613.0	2167.4700000000003
K00820	glmS, GFPT; glucosamine---fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]	17373.059999999998	19093.37	18153.75	18438.28
K00821	argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]	17276.98	19073.17	17416.25	15718.61
K00822	E2.6.1.18; beta-alanine--pyruvate transaminase [EC:2.6.1.18]	23.2	467.0	683.0	2254.4700000000003
K00823	puuE; 4-aminobutyrate aminotransferase [EC:2.6.1.19]	16201.2	16405.17	17863.0	17175.47
K00824	dat; D-alanine transaminase [EC:2.6.1.21]	94.33	9.0	0.0	246.67
K00826	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]	17573.53	18644.37	18166.75	18368.480000000003
K00831	serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]	16935.78	18626.37	18029.25	17507.809999999998
K00832	tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]	20029.4	20879.17	22449.0	21272.44
K00833	bioA; adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]	16300.2	16416.37	18012.0	17238.47
K00835	avtA; valine--pyruvate aminotransferase [EC:2.6.1.66]	14852.0	15947.17	17327.0	14955.67
K00836	ectB, dat; diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]	13114.2	14412.17	15770.0	15289.64
K00839	pucG; (S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112]	13091.0	13945.17	15234.0	13122.17
K00840	astC; succinylornithine aminotransferase [EC:2.6.1.81]	26182.0	27853.17	31540.0	32099.67
K00841	patA; aminotransferase [EC:2.6.1.-]	5.25	0.0	11.5	0.0
K00842	E2.6.1.-E, patB; aminotransferase [EC:2.6.1.-]	94.33	0.0	0.0	246.67
K00844	HK; hexokinase [EC:2.7.1.1]	1326.0	11.2	4.0	51.0
K00845	glk; glucokinase [EC:2.7.1.2]	17792.61	21722.97	18681.5	17129.309999999998
K00847	E2.7.1.4, scrK; fructokinase [EC:2.7.1.4]	43220.27	48702.94	48030.0	42405.81999999999
K00848	rhaB; rhamnulokinase [EC:2.7.1.5]	13985.99	16131.4	15234.0	13840.51
K00849	galK; galactokinase [EC:2.7.1.6]	17008.08	18159.37	17431.0	15672.34
K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	26067.56	26606.57	22117.5	22012.86
K00851	E2.7.1.12, gntK, idnK; gluconokinase [EC:2.7.1.12]	14875.2	16442.34	17933.0	17122.14
K00852	rbsK, RBKS; ribokinase [EC:2.7.1.15]	30654.47	33001.369999999995	32765.75	29931.45
K00853	araB; L-ribulokinase [EC:2.7.1.16]	14946.33	15947.17	17327.0	15202.34
K00854	xylB, XYLB; xylulokinase [EC:2.7.1.17]	30758.17	36559.54	33628.75	30815.42
K00855	PRK, prkB; phosphoribulokinase [EC:2.7.1.19]	14852.0	15947.17	17327.0	14955.67
K00856	E2.7.1.20, ADK; adenosine kinase [EC:2.7.1.20]	0.0	0.0	147.0	109.67
K00857	tdk, TK; thymidine kinase [EC:2.7.1.21]	15783.75	18168.37	17508.0	15461.67
K00858	ppnK, NADK; NAD+ kinase [EC:2.7.1.23]	17255.53	18626.37	18122.75	17926.809999999998
K00859	coaE; dephospho-CoA kinase [EC:2.7.1.24]	17255.53	18626.37	18170.75	17926.809999999998
K00860	cysC; adenylylsulfate kinase [EC:2.7.1.25]	14852.0	15958.37	17327.0	14955.67
K00863	DAK, TKFC; triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]	13091.0	13908.0	15234.0	13100.5
K00864	glpK, GK; glycerol kinase [EC:2.7.1.30]	30444.36	32523.17	33302.75	31249.980000000003
K00865	glxK, garK; glycerate 2-kinase [EC:2.7.1.165]	39725.11	42454.53999999999	44025.25	40427.65
K00867	coaA; type I pantothenate kinase [EC:2.7.1.33]	14855.5	15956.17	17337.0	14955.67
K00868	pdxK, pdxY; pyridoxine kinase [EC:2.7.1.35]	30344.78	32580.54	32723.25	28662.98
K00869	E2.7.1.36, MVK, mvaK1; mevalonate kinase [EC:2.7.1.36]	1.75	0.0	8.5	0.0
K00872	thrB1; homoserine kinase [EC:2.7.1.39]	16524.25	15947.17	17425.25	15093.67
K00873	PK, pyk; pyruvate kinase [EC:2.7.1.40]	32573.980000000003	35031.54	34966.5	31512.28
K00874	kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	30706.61	34763.54	32643.5	28909.65
K00876	udk, UCK; uridine kinase [EC:2.7.1.48]	18751.33	22572.57	17529.75	16091.34
K00878	thiM; hydroxyethylthiazole kinase [EC:2.7.1.50]	15471.33	16146.17	15829.75	15828.51
K00879	fucK; L-fuculokinase [EC:2.7.1.51]	13279.66	13908.0	15234.0	13569.84
K00880	lyxK; L-xylulokinase [EC:2.7.1.53]	13187.08	13919.17	15235.5	13344.84
K00882	fruK; 1-phosphofructokinase [EC:2.7.1.56]	20342.28	23375.17	20783.0	20234.64
K00883	dgoK; 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]	26205.2	28283.0	30468.0	26377.47
K00884	NAGK, nagK; N-acetylglucosamine kinase [EC:2.7.1.59]	14852.0	15947.17	17406.0	15042.67
K00886	ppgK; polyphosphate glucokinase [EC:2.7.1.63]	0.0	0.0	2.0	0.0
K00887	dgkA; undecaprenol kinase [EC:2.7.1.66]	0.0	0.0	7.0	0.0
K00891	E2.7.1.71, aroK, aroL; shikimate kinase [EC:2.7.1.71]	32717.78	36774.54	35448.25	32882.48
K00892	gsk; inosine kinase [EC:2.7.1.73]	14852.0	15947.17	17327.0	14955.67
K00895	pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]	0.0	11.2	48.0	0.0
K00897	aphA; kanamycin kinase [EC:2.7.1.95]	0.0	0.0	0.0	22.67
K00899	mtnK; 5-methylthioribose kinase [EC:2.7.1.100]	13185.33	13954.17	15234.0	13368.84
K00901	dgkA, DGK; diacylglycerol kinase (ATP) [EC:2.7.1.107]	15221.45	16405.17	18139.75	17716.14
K00906	aceK; isocitrate dehydrogenase kinase/phosphatase [EC:2.7.11.5 3.1.3.-]	14875.2	16405.17	17474.0	15243.14
K00912	lpxK; tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	14875.2	16425.37	18060.0	17187.47
K00917	lacC; tagatose 6-phosphate kinase [EC:2.7.1.144]	1.75	0.0	1.5	0.0
K00919	ispE; 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]	17253.78	18626.37	18114.25	17926.809999999998
K00924	E2.7.1.-; kinase [EC:2.7.1.-]	0.0	0.0	604.0	1967.0
K00925	ackA; acetate kinase [EC:2.7.2.1]	17232.33	18177.37	18043.75	17662.010000000002
K00926	arcC; carbamate kinase [EC:2.7.2.2]	1165.44	2705.17	52.75	1406.48
